Course,Planned number of Students,Senior Hours,Assistant Hours
I-1359,40,260,360
I-1360,50,240,360
I-1361,60,260,420
I-1362,60,240,280
I-1363,40,240,360
I-1364,50,260,200
I-1365,50,240,240
I-1366,60,260,240
I-1367,50,260,420
I-1368,60,240,300
I-1369,50,240,300
I-1370,40,260,300
I-1371,20,260,240
I-1372,50,280,420
I-1373,50,260,360
I-1374,20,260,420
I-1375,60,260,280
I-1376,60,280,360
I-1377,50,260,240
I-1378,20,280,280
I-1379,20,240,420
I-1380,60,240,200
I-1381,60,240,200
I-1382,20,260,280
I-1383,40,240,240
I-1384,60,240,420
I-1385,60,280,280
I-1386,60,240,300
I-1387,50,280,300
I-1388,40,280,200
I-1389,60,240,360
I-1390,60,260,200
I-1391,40,240,420
I-1392,20,280,240
I-1393,60,280,360
I-1394,40,280,240
I-1395,20,260,360
I-1396,20,280,300
I-1397,50,260,200
I-1398,60,260,300
I-1399,20,260,240
I-1400,40,240,420
I-1401,50,280,360
I-1402,20,260,200
I-1403,60,240,420
I-1404,50,280,280
I-1405,60,260,420
I-1406,60,260,420
I-1407,60,240,300
I-1408,50,280,300
I-1409,20,260,200
I-1410,60,280,360
I-1411,20,260,360
I-1412,50,240,420
I-1413,40,280,300
I-1414,60,280,280
I-1415,20,280,200
I-1416,40,280,200
I-1417,40,260,300
I-1418,20,260,360
I-1419,40,280,420
I-1420,50,260,420
I-1421,50,280,360
I-1422,40,280,240
I-1423,20,240,200
I-1424,50,240,420
I-1425,20,240,280
I-1426,50,240,280
I-1427,40,280,280
I-1428,20,240,300
I-1429,60,260,240
I-1430,20,240,200
I-1431,40,260,360
I-1432,50,240,300
I-1433,40,240,360
I-1434,40,260,300
I-1435,20,260,200
I-1436,60,260,280
I-1437,20,280,420
I-1438,20,240,300
I-1439,40,280,360
I-1440,40,240,300
I-1441,60,280,240
I-1442,50,280,420
I-1443,60,240,420
I-1444,60,280,240
I-1445,40,240,300
I-1446,60,260,240
I-1447,50,260,200
I-1448,50,240,280
I-1449,50,280,300
I-1450,60,240,200
I-1451,20,280,360
I-1452,40,280,200
I-1453,60,240,200
I-1454,20,240,360
I-1455,50,260,200
I-1456,20,280,280
I-1457,40,260,360
I-1458,20,240,280
I-1459,40,280,240
I-1460,40,280,200
I-1461,60,280,420
I-1462,20,280,200
I-1463,40,280,200
I-1464,20,280,360
I-1465,60,280,280
I-1466,20,280,300
I-1467,40,280,360
I-1468,60,280,200
I-1469,20,240,360
I-1470,60,260,420
I-1471,60,280,200
I-1472,60,280,300
I-1473,50,280,280
I-1474,40,240,300
I-1475,20,240,200
I-1476,60,280,280
I-1477,40,260,300
I-1478,60,240,300
I-1479,20,280,360
I-1480,50,260,420
I-1481,20,260,240
I-1482,50,260,200
I-1483,40,260,420
I-1484,20,280,200
I-1485,60,240,420
I-1486,40,240,360
I-1487,50,240,420
I-1488,20,280,200
I-1489,50,260,420
I-1490,50,240,420
I-1491,60,240,300
I-1492,60,260,280
I-1493,60,240,240
I-1494,60,240,360
I-1495,60,280,300
I-1496,60,260,420
I-1497,60,260,200
I-1498,20,240,300
I-1499,40,260,360
I-1500,40,260,420
I-1501,50,280,280
I-1502,50,240,300
I-1503,40,260,280
I-1504,60,280,240
I-1505,60,240,240
I-1506,60,260,200
I-1507,60,240,420
I-1508,60,280,280
I-1509,20,280,200
I-1510,20,260,200
I-1511,60,280,360
I-1512,40,240,200
I-1513,60,280,300
I-1514,20,260,200
I-1515,40,240,300
I-1516,60,260,200
I-1517,50,260,280
I-1518,40,280,420
I-1519,50,260,300
I-1520,50,240,240
I-1521,20,260,420
I-1522,50,260,280
I-1523,50,260,420
I-1524,60,240,240
I-1525,50,240,420
I-1526,40,260,200
I-1527,20,280,420
I-1528,50,240,300
I-1529,60,260,420
I-1530,20,260,300
I-1531,40,280,200
I-1532,40,280,200
I-1533,60,280,300
I-1534,20,280,280
I-1535,20,260,240
I-1536,60,280,420
I-1537,40,280,360
I-1538,40,280,420
I-1539,50,280,200
I-1540,50,240,300
I-1541,20,240,280
I-1542,50,280,420
I-1543,60,280,200
I-1544,20,240,200
I-1545,20,280,240
I-1546,40,260,360
I-1547,50,260,200
I-1548,20,260,200
I-1549,20,260,200
I-1550,20,240,360
I-1551,50,240,420
I-1552,20,280,300
I-1553,60,280,420
I-1554,60,260,420
I-1555,50,260,200
I-1556,20,260,360
I-1557,50,240,280
I-1558,50,240,200
I-1559,20,260,300
I-1560,40,260,360
I-1561,50,280,420
I-1562,20,280,360
I-1563,50,280,240
I-1564,20,260,240
I-1565,40,260,420
I-1566,40,260,240
I-1567,40,260,360
I-1568,40,260,240
I-1569,50,240,240
I-1570,40,280,280
I-1571,20,240,200
I-1572,60,260,280
I-1573,40,240,240
I-1574,60,260,300
I-1575,50,260,200
I-1576,20,280,280
I-1577,40,260,200
I-1578,60,260,280
I-1579,20,240,200
I-1580,20,280,240
I-1581,40,280,420
I-1582,60,280,200
I-1583,40,260,300
I-1584,60,240,280
I-1585,60,240,200
I-1586,40,260,360
I-1587,20,280,420
I-1588,50,260,420
I-1589,60,240,420
I-1590,20,240,420
I-1591,20,240,420
I-1592,60,260,240
I-1593,50,280,280
I-1594,40,240,240
I-1595,50,240,280
I-1596,20,240,240
I-1597,50,280,280
I-1598,40,240,240
I-1599,60,260,200
I-1600,20,240,240
I-1601,20,260,240
I-1602,40,280,240
I-1603,50,260,200
I-1604,20,240,300
I-1605,20,240,240
I-1606,40,280,420
I-1607,60,260,420
I-1608,20,280,280
I-1609,20,240,300
I-1610,50,240,240
I-1611,20,280,240
I-1612,50,260,360
I-1613,40,280,300
I-1614,60,260,360
I-1615,40,260,360
I-1616,50,240,200
I-1617,60,240,300
I-1618,20,280,280
I-1619,20,280,360
I-1620,50,240,200
I-1621,20,260,420
I-1622,60,280,200
I-1623,40,260,240
I-1624,20,240,200
I-1625,40,260,300
I-1626,40,280,200
I-1627,20,240,300
I-1628,50,280,200
I-1629,20,260,300
I-1630,40,260,280
I-1631,50,280,300
I-1632,20,280,420
I-1633,50,280,420
I-1634,40,240,200
I-1635,40,240,280
I-1636,60,260,300
I-1637,20,240,200
I-1638,20,280,240
I-1639,40,280,200
I-1640,60,260,200
I-1641,50,280,240
I-1642,20,280,420
I-1643,50,260,420
I-1644,50,280,200
I-1645,40,280,280
I-1646,40,240,360
I-1647,40,280,300
I-1648,20,280,280
I-1649,50,260,240
I-1650,50,260,420
I-1651,20,280,360
I-1652,40,240,300
I-1653,20,240,240
I-1654,40,260,200
I-1655,50,280,360
I-1656,40,260,200
I-1657,50,280,280
I-1658,20,240,360
I-1659,20,260,360
I-1660,50,240,420
I-1661,40,260,420
I-1662,40,240,280
I-1663,60,240,360
I-1664,50,260,300
I-1665,50,280,300
I-1666,50,260,240
I-1667,50,280,240
I-1668,40,240,420
I-1669,60,240,300
I-1670,60,280,420
I-1671,20,280,360
I-1672,20,260,300
I-1673,40,260,360
I-1674,40,260,240
I-1675,50,260,420
I-1676,40,260,240
I-1677,20,240,300
I-1678,20,280,300
I-1679,20,240,240
I-1680,20,260,420
I-1681,20,280,200
I-1682,20,280,240
I-1683,20,260,200
I-1684,40,240,240
I-1685,40,240,300
I-1686,60,280,360
I-1687,50,260,200
I-1688,50,240,200
I-1689,60,260,280
I-1690,60,280,420
I-1691,60,280,200
I-1692,40,280,200
I-1693,60,280,240
I-1694,50,280,240
I-1695,20,260,300
I-1696,50,260,280
I-1697,50,240,240
I-1698,60,240,360
I-1699,20,260,200
I-1700,50,260,200
I-1701,60,240,280
I-1702,60,240,200
I-1703,40,280,200
I-1704,50,280,420
I-1705,60,240,360
I-1706,20,240,200
I-1707,40,280,200
I-1708,60,260,280
I-1709,50,240,280
I-1710,50,280,420
I-1711,20,280,280
I-1712,50,280,360
I-1713,40,240,360
I-1714,60,240,300
I-1715,20,240,300
I-1716,20,280,300
I-1717,40,240,280
I-1718,50,240,200
I-1719,40,280,280
I-1720,50,260,420
I-1721,50,280,200
I-1722,60,260,360
I-1723,60,280,280
I-1724,20,260,200
I-1725,20,240,200
I-1726,20,280,200
I-1727,50,260,240
I-1728,60,260,280
I-1729,40,280,240
I-1730,40,280,200
I-1731,40,280,420
I-1732,40,260,420
I-1733,50,260,300
I-1734,60,240,360
I-1735,40,260,280
I-1736,20,280,200
I-1737,40,240,280
I-1738,20,260,200
I-1739,60,260,360
I-1740,50,280,280
I-1741,60,240,420
I-1742,60,240,240
I-1743,60,260,360
I-1744,60,240,420
I-1745,60,260,300
I-1746,60,280,280
I-1747,50,280,280
I-1748,20,240,280
I-1749,50,260,240
I-1750,20,260,300
I-1751,50,260,240
I-1752,20,260,240
I-1753,20,240,200
I-1754,60,280,420
I-1755,60,260,420
I-1756,60,240,240
I-1757,60,260,420
I-1758,50,240,300
I-1759,60,280,420
I-1760,60,280,420
I-1761,60,260,360
I-1762,40,240,420
I-1763,40,240,360
I-1764,60,240,200
I-1765,20,260,420
I-1766,20,260,280
I-1767,50,260,420
I-1768,40,280,420
I-1769,20,240,280
I-1770,60,260,200
I-1771,20,280,240
I-1772,20,280,280
I-1773,20,240,240
I-1774,20,260,420
I-1775,20,260,280
I-1776,60,260,240
I-1777,20,280,300
I-1778,50,280,280
I-1779,50,280,200
I-1780,60,240,240
I-1781,60,260,420
I-1782,50,260,360
I-1783,50,260,300
I-1784,50,280,360
I-1785,40,280,300
I-1786,20,240,240
I-1787,20,280,280
I-1788,40,260,240
I-1789,50,280,200
I-1790,40,240,300
I-1791,60,280,200
I-1792,60,260,240
I-1793,60,280,200
I-1794,40,280,360
I-1795,60,240,200
I-1796,40,240,240
I-1797,60,240,420
I-1798,50,280,300
I-1799,20,280,240
I-1800,20,280,200
I-1801,40,240,240
I-1802,40,280,240
I-1803,40,280,240
I-1804,20,260,240
I-1805,40,240,280
I-1806,60,260,200
I-1807,20,240,240
I-1808,50,240,200
I-1809,60,240,240
I-1810,20,240,280
I-1811,20,280,280
I-1812,40,240,200
I-1813,40,240,280
I-1814,50,280,280
I-1815,60,260,280
I-1816,40,280,420
I-1817,50,240,240
I-1818,50,280,300
I-1819,40,260,200
I-1820,40,260,200
I-1821,60,280,200
I-1822,20,240,200
I-1823,50,240,420
I-1824,50,280,280
I-1825,50,240,420
I-1826,60,260,300
I-1827,50,240,360
I-1828,50,260,420
I-1829,20,240,280
I-1830,20,260,300
I-1831,20,280,200
I-1832,60,280,420
I-1833,40,260,300
I-1834,20,260,360
I-1835,60,260,300
I-1836,40,260,240
I-1837,50,280,420
I-1838,40,260,200
I-1839,60,240,280
I-1840,40,260,240
I-1841,40,240,360
I-1842,50,280,280
I-1843,40,260,360
I-1844,20,240,240
I-1845,40,280,300
I-1846,40,240,300
I-1847,60,260,300
I-1848,20,260,280
I-1849,40,240,200
I-1850,40,260,280
I-1851,60,240,240
I-1852,20,280,420
I-1853,20,260,420
I-1854,60,240,300
I-1855,60,260,240
I-1856,40,280,200
I-1857,60,280,200
I-1858,40,280,420
I-1859,40,280,280
I-1860,40,280,300
I-1861,40,280,360
I-1862,40,240,200
I-1863,20,280,420
I-1864,20,260,420
I-1865,40,280,240
I-1866,60,280,300
I-1867,40,260,420
I-1868,40,280,300
I-1869,60,240,200
I-1870,50,280,360
I-1871,40,260,420
I-1872,60,260,240
I-1873,20,240,300
I-1874,60,280,420
I-1875,60,240,280
I-1876,40,240,240
I-1877,40,280,420
I-1878,60,260,200
I-1879,60,240,240
I-1880,50,260,240
I-1881,20,240,280
I-1882,60,280,420
I-1883,20,260,200
I-1884,20,240,300
I-1885,60,260,420
I-1886,40,260,240
I-1887,40,240,200
I-1888,40,260,280
I-1889,20,240,200
I-1890,50,240,360
I-1891,20,260,360
I-1892,50,280,300
I-1893,50,260,300
I-1894,60,240,280
I-1895,40,240,360
I-1896,20,260,280
I-1897,20,280,360
I-1898,20,260,280
I-1899,60,280,240
I-1900,60,240,360
I-1901,40,280,420
I-1902,50,260,280
I-1903,60,260,420
I-1904,40,280,200
I-1905,50,240,420
I-1906,50,240,300
I-1907,40,240,280
I-1908,50,280,420
I-1909,40,260,420
I-1910,50,280,200
I-1911,50,280,300
I-1912,60,280,280
I-1913,40,260,240
I-1914,40,260,280
I-1915,50,280,360
I-1916,20,280,360
I-1917,40,240,280
I-1918,60,280,420
I-1919,40,260,300
I-1920,50,240,360
I-1921,20,240,240
I-1922,60,240,280
I-1923,20,260,280
I-1924,50,280,280
I-1925,60,240,300
I-1926,40,260,360
I-1927,60,260,240
I-1928,50,260,360
I-1929,50,280,240
I-1930,50,280,420
I-1931,50,240,300
I-1932,40,260,200
I-1933,40,240,200
I-1934,50,240,280
I-1935,60,240,300
I-1936,20,240,360
I-1937,50,240,420
I-1938,60,240,360
I-1939,60,260,420
I-1940,40,280,420
I-1941,60,260,360
I-1942,20,280,420
I-1943,60,260,300
I-1944,40,240,300
I-1945,20,280,360
I-1946,20,280,280
I-1947,60,260,360
I-1948,50,240,280
I-1949,60,240,420
I-1950,50,260,240
I-1951,40,260,280
I-1952,50,280,240
I-1953,40,260,280
I-1954,50,280,300
I-1955,60,260,420
I-1956,20,280,240
I-1957,20,240,280
I-1958,50,280,200
I-1959,50,280,420
I-1960,20,280,240
I-1961,60,280,240
I-1962,20,260,200
I-1963,50,280,240
I-1964,60,260,360
I-1965,50,260,300
I-1966,40,240,420
I-1967,40,280,280
I-1968,60,260,360
I-1969,50,240,280
I-1970,60,260,200
I-1971,60,260,360
I-1972,20,280,300
I-1973,20,260,420
I-1974,20,260,360
I-1975,20,260,240
I-1976,50,280,240
I-1977,60,260,300
I-1978,20,240,420
I-1979,60,280,200
I-1980,50,240,200
I-1981,40,240,280
I-1982,20,240,240
I-1983,60,260,360
I-1984,50,240,420
I-1985,20,260,200
I-1986,40,260,300
I-1987,20,260,300
I-1988,20,260,360
I-1989,20,240,200
I-1990,20,240,420
I-1991,20,240,360
I-1992,60,260,300
I-1993,50,280,240
I-1994,50,240,240
I-1995,20,280,360
I-1996,20,240,280
I-1997,60,280,300
I-1998,50,280,360
I-1999,40,280,420
I-2000,20,240,280
I-2001,20,280,420
I-2002,50,240,200
I-2003,60,240,240
I-2004,60,280,240
I-2005,20,280,360
I-2006,50,260,200
I-2007,50,260,200
I-2008,40,240,280
I-2009,60,260,360
I-2010,50,240,240
I-2011,40,280,200
I-2012,40,240,240
I-2013,40,240,200
I-2014,20,240,360
I-2015,40,240,240
I-2016,20,260,420
I-2017,40,240,300
I-2018,60,240,240
I-2019,40,280,360
I-2020,40,260,360
I-2021,60,280,300
I-2022,60,240,200
I-2023,40,260,360
I-2024,40,260,240
I-2025,20,280,360
I-2026,60,260,360
I-2027,50,260,300
I-2028,50,280,300
I-2029,20,280,280
I-2030,20,240,240
I-2031,20,240,300
I-2032,20,280,300
I-2033,20,240,200
I-2034,40,280,280
I-2035,60,280,280
I-2036,40,240,200
I-2037,20,260,240
I-2038,50,240,300
I-2039,20,260,360
I-2040,60,240,300
I-2041,50,280,420
I-2042,50,240,360
I-2043,50,240,280
I-2044,60,260,200
I-2045,40,260,420
I-2046,20,260,200
I-2047,40,240,240
I-2048,40,260,200
I-2049,20,240,300
I-2050,40,240,360
I-2051,20,240,300
I-2052,60,260,200
I-2053,20,280,240
I-2054,40,280,420
I-2055,40,240,360
I-2056,40,280,240
I-2057,50,260,420
I-2058,40,240,420
I-2059,40,280,240
I-2060,40,240,360
I-2061,50,240,360
I-2062,60,280,280
I-2063,50,260,240
I-2064,60,260,420
I-2065,40,260,360
I-2066,40,260,240
I-2067,50,260,420
I-2068,40,240,360
I-2069,40,280,300
I-2070,20,240,200
I-2071,40,240,300
I-2072,60,240,240
I-2073,50,260,420
I-2074,40,280,420
I-2075,50,240,240
I-2076,50,240,360
I-2077,60,260,420
I-2078,20,260,200
I-2079,60,240,240
I-2080,40,280,200
I-2081,20,260,300
I-2082,40,280,240
I-2083,50,240,200
I-2084,40,280,420
I-2085,40,280,360
I-2086,50,280,420
I-2087,40,240,200
I-2088,40,240,280
I-2089,50,260,300
I-2090,20,260,300
I-2091,50,260,300
I-2092,20,240,300
I-2093,40,280,240
I-2094,50,260,280
I-2095,20,280,300
I-2096,60,280,420
I-2097,40,240,240
I-2098,50,240,200
I-2099,20,280,300
I-2100,60,240,420
I-2101,60,260,280
I-2102,60,260,360
I-2103,40,260,420
I-2104,20,240,200
I-2105,60,280,240
I-2106,40,260,200
I-2107,20,240,240
I-2108,60,240,240
I-2109,40,260,240
I-2110,20,260,200
I-2111,40,280,240
I-2112,40,260,360
I-2113,20,240,420
I-2114,40,240,300
I-2115,20,260,420
I-2116,50,240,200
I-2117,40,280,420
I-2118,20,240,280
I-2119,60,240,240
I-2120,20,280,360
I-2121,60,240,280
I-2122,60,240,360
I-2123,20,240,240
I-2124,20,260,360
I-2125,50,260,420
I-2126,40,260,360
I-2127,60,260,240
I-2128,50,240,240
I-2129,40,260,300
I-2130,60,240,200
I-2131,60,280,280
I-2132,20,240,200
I-2133,50,240,420
I-2134,60,260,300
I-2135,60,280,360
I-2136,20,260,420
I-2137,50,280,240
I-2138,60,280,300
I-2139,60,280,300
I-2140,60,280,240
I-2141,60,240,420
I-2142,60,240,360
I-2143,40,280,360
I-2144,50,280,240
I-2145,40,240,200
I-2146,20,280,200
I-2147,50,260,360
I-2148,40,280,240
I-2149,40,260,300
I-2150,40,240,240
I-2151,50,280,240
I-2152,40,280,360
I-2153,20,280,360
I-2154,20,280,280
I-2155,20,240,240
I-2156,50,280,360
I-2157,50,280,240
I-2158,50,280,240
I-2159,50,280,300
I-2160,60,240,240
I-2161,40,280,240
I-2162,50,260,420
I-2163,50,240,280
I-2164,50,240,240
I-2165,20,260,360
I-2166,60,280,280
I-2167,60,240,240
I-2168,50,260,360
I-2169,20,280,420
I-2170,60,260,360
I-2171,40,280,420
I-2172,20,280,420
I-2173,60,260,240
I-2174,20,280,360
I-2175,50,260,300
I-2176,60,240,200
I-2177,60,240,240
I-2178,50,240,200
I-2179,60,240,300
I-2180,60,240,280
I-2181,60,260,240
I-2182,20,280,240
I-2183,50,260,200
I-2184,40,240,200
I-2185,40,260,360
I-2186,60,240,240
I-2187,50,260,200
I-2188,60,260,280
I-2189,60,240,200
I-2190,40,260,300
I-2191,20,240,360
I-2192,20,260,280
I-2193,60,260,280
I-2194,20,260,240
I-2195,50,240,300
I-2196,60,260,420
I-2197,20,240,300
I-2198,60,260,240
I-2199,60,240,360
I-2200,50,260,420
I-2201,60,240,360
I-2202,40,260,360
I-2203,50,280,420
I-2204,60,240,240
I-2205,40,240,420
I-2206,40,240,420
I-2207,50,280,200
I-2208,50,260,200
I-2209,60,240,280
I-2210,40,240,200
I-2211,20,280,280
I-2212,20,260,240
I-2213,50,260,280
I-2214,50,280,240
I-2215,50,240,420
I-2216,50,260,240
I-2217,20,240,280
I-2218,40,280,420
I-2219,50,240,200
I-2220,60,260,240
I-2221,50,280,240
I-2222,60,240,240
I-2223,50,240,420
I-2224,20,260,280
I-2225,20,280,300
I-2226,60,240,420
I-2227,20,260,200
I-2228,20,260,200
I-2229,20,240,420
I-2230,20,240,420
I-2231,40,260,200
I-2232,20,260,240
I-2233,40,240,420
I-2234,40,260,360
I-2235,50,280,200
I-2236,50,280,360
I-2237,60,260,240
I-2238,20,240,420
I-2239,40,240,300
I-2240,50,260,420
I-2241,40,260,420
I-2242,60,260,300
I-2243,40,240,240
I-2244,40,260,300
I-2245,50,240,420
I-2246,60,260,240
I-2247,60,280,420
I-2248,20,280,280
I-2249,50,240,280
I-2250,60,260,240
I-2251,60,280,200
I-2252,60,260,420
I-2253,50,260,300
I-2254,20,240,240
I-2255,20,280,240
I-2256,50,280,200
I-2257,40,280,280
I-2258,60,260,300
I-2259,40,240,200
I-2260,50,280,200
I-2261,40,240,300
I-2262,40,260,300
I-2263,50,240,300
I-2264,40,240,240
I-2265,60,240,200
I-2266,20,240,200
I-2267,50,280,240
I-2268,20,240,280
I-2269,40,280,420
I-2270,60,240,280
I-2271,40,260,360
I-2272,20,280,300
I-2273,20,260,420
I-2274,50,260,200
I-2275,20,260,240
I-2276,20,240,240
I-2277,40,280,200
I-2278,40,260,300
I-2279,20,240,200
I-2280,40,240,360
I-2281,60,280,300
I-2282,20,240,420
I-2283,20,260,300
I-2284,50,260,200
I-2285,20,280,240
I-2286,20,240,200
I-2287,20,240,360
I-2288,50,240,300
I-2289,40,240,280
I-2290,50,260,200
I-2291,60,280,280
I-2292,60,280,280
I-2293,50,260,200
I-2294,20,280,200
I-2295,50,280,240
I-2296,20,240,360
I-2297,20,240,360
I-2298,40,280,280
I-2299,50,280,200
I-2300,60,280,300
I-2301,20,260,240
I-2302,40,260,240
I-2303,40,280,300
I-2304,60,260,280
I-2305,50,260,280
I-2306,50,260,280
I-2307,40,280,360
I-2308,50,280,420
I-2309,40,260,420
I-2310,60,240,200
I-2311,40,240,240
I-2312,20,240,240
I-2313,50,260,240
I-2314,40,280,280
I-2315,20,240,420
I-2316,20,280,300
I-2317,60,240,200
I-2318,50,260,200
I-2319,40,240,300
I-2320,50,280,200
I-2321,20,240,240
I-2322,60,280,300
I-2323,50,240,280
I-2324,50,240,200
I-2325,20,240,300
I-2326,60,280,360
I-2327,20,260,200
I-2328,60,260,200
I-2329,20,260,420
I-2330,20,260,360
I-2331,50,260,200
I-2332,20,280,240
I-2333,20,280,420
I-2334,20,240,280
I-2335,50,280,280
I-2336,50,240,420
I-2337,40,240,240
I-2338,50,240,300
I-2339,50,280,360
I-2340,50,280,420
I-2341,60,260,360
I-2342,50,280,280
I-2343,40,260,200
I-2344,50,240,360
I-2345,20,260,280
I-2346,60,240,360
I-2347,60,280,200
I-2348,40,260,360
I-2349,40,240,240
I-2350,40,240,300
I-2351,50,280,420
I-2352,20,280,200
I-2353,50,240,360
I-2354,40,240,360
I-2355,20,240,420
I-2356,40,280,300
I-2357,60,280,240
I-2358,20,280,300
I-2359,60,260,200
I-2360,20,260,420
I-2361,60,260,240
I-2362,50,260,280
I-2363,60,280,200
I-2364,60,240,360
I-2365,20,280,420
I-2366,20,240,200
I-2367,60,240,360
I-2368,50,240,240
I-2369,40,240,280
I-2370,60,240,280
I-2371,60,260,420
I-2372,40,240,240
I-2373,20,260,280
I-2374,20,260,200
I-2375,40,280,360
I-2376,50,280,200
I-2377,20,240,300
I-2378,40,260,280
I-2379,20,280,360
I-2380,50,240,420
I-2381,60,260,360
I-2382,60,260,360
I-2383,60,240,200
I-2384,40,280,300
I-2385,20,260,360
I-2386,40,280,240
I-2387,60,280,300
I-2388,60,260,300
I-2389,60,240,200
I-2390,60,280,280
I-2391,40,280,420
I-2392,40,260,420
I-2393,60,240,300
I-2394,60,280,280
I-2395,50,240,420
I-2396,40,240,300
I-2397,40,280,300
I-2398,20,260,280
I-2399,50,240,280
I-2400,40,280,360
I-2401,20,280,300
I-2402,60,280,300
I-2403,60,280,280
I-2404,40,280,360
I-2405,50,240,240
I-2406,50,280,300
I-2407,20,240,420
I-2408,40,280,280
I-2409,20,240,360
I-2410,60,280,420
I-2411,20,260,240
I-2412,40,240,360
I-2413,40,260,280
I-2414,20,240,420
I-2415,50,240,240
I-2416,20,260,360
I-2417,50,240,200
I-2418,20,280,200
I-2419,60,280,280
I-2420,60,240,420
I-2421,40,280,240
I-2422,40,240,300
I-2423,20,280,360
I-2424,40,260,420
I-2425,20,260,240
I-2426,40,260,240
I-2427,40,280,240
I-2428,60,280,360
I-2429,50,260,360
I-2430,50,260,360
I-2431,50,240,360
I-2432,20,240,300
I-2433,50,240,420
I-2434,40,280,360
I-2435,60,280,300
I-2436,50,280,240
I-2437,20,260,200
I-2438,50,260,240
I-2439,20,260,200
I-2440,60,260,200
I-2441,20,280,300
I-2442,60,240,240
I-2443,60,260,200
I-2444,40,240,300
I-2445,40,280,300
I-2446,40,240,200
I-2447,20,280,360
I-2448,40,280,420
I-2449,60,280,300
I-2450,60,260,420
I-2451,60,280,360
I-2452,60,280,420
I-2453,60,280,200
I-2454,60,240,420
I-2455,50,260,240
I-2456,40,240,420
I-2457,50,260,280
I-2458,50,260,280
I-2459,50,280,300
I-2460,60,240,420
I-2461,50,280,420
I-2462,60,260,200
I-2463,40,260,240
I-2464,50,240,300
I-2465,60,260,420
I-2466,20,280,280
I-2467,50,260,280
I-2468,60,280,280
I-2469,60,240,360
I-2470,40,240,300
I-2471,50,280,200
I-2472,50,240,420
I-2473,50,280,200
I-2474,20,260,420
I-2475,60,260,200
I-2476,60,260,360
I-2477,60,240,240
I-2478,60,260,300
I-2479,60,260,280
I-2480,40,240,300
I-2481,40,260,420
I-2482,50,280,360
I-2483,20,260,280
I-2484,50,260,200
I-2485,40,240,300
I-2486,50,260,360
I-2487,50,260,240
I-2488,20,240,360
I-2489,60,280,240
I-2490,40,260,280
I-2491,20,240,300
I-2492,60,240,240
I-2493,40,260,200
I-2494,50,240,420
I-2495,40,240,360
I-2496,50,260,300
I-2497,50,260,280
I-2498,40,240,420
I-2499,40,280,200
I-2500,40,240,280
I-2501,50,240,360
I-2502,20,260,240
I-2503,20,260,360
I-2504,60,260,360
I-2505,60,280,280
I-2506,50,280,420
I-2507,60,280,360
I-2508,40,260,280
I-2509,60,280,360
I-2510,60,240,420
I-2511,20,240,360
I-2512,60,280,420
I-2513,60,260,420
I-2514,20,280,280
I-2515,40,280,280
I-2516,20,260,200
I-2517,60,240,280
I-2518,60,260,240
I-2519,20,240,360
I-2520,20,260,360
I-2521,60,240,420
I-2522,50,280,360
I-2523,40,260,360
I-2524,20,260,300
I-2525,40,260,280
I-2526,50,260,200
I-2527,60,280,420
I-2528,20,240,300
I-2529,20,280,360
I-2530,60,240,280
I-2531,20,260,420
I-2532,50,240,280
I-2533,50,260,300
I-2534,20,280,300
I-2535,60,260,420
I-2536,60,260,420
I-2537,20,280,200
I-2538,50,260,240
I-2539,40,260,200
I-2540,50,260,300
I-2541,60,240,280
I-2542,60,260,300
I-2543,20,240,200
I-2544,60,280,360
I-2545,40,260,280
I-2546,40,280,360
I-2547,20,280,240
I-2548,50,280,420
I-2549,50,260,420
I-2550,40,260,280
I-2551,60,240,280
I-2552,20,260,200
I-2553,50,240,360
I-2554,20,260,300
I-2555,20,260,200
I-2556,40,260,420
I-2557,20,260,360
I-2558,50,240,280
I-2559,20,280,200
I-2560,50,260,360
I-2561,60,260,360
I-2562,20,280,360
I-2563,40,260,360
I-2564,50,280,200
I-2565,20,260,200
I-2566,50,240,300
I-2567,20,280,280
I-2568,40,240,240
I-2569,20,260,280
I-2570,60,280,280
I-2571,60,280,280
I-2572,50,280,240
I-2573,50,240,280
I-2574,20,280,280
I-2575,40,280,360
I-2576,20,280,240
I-2577,20,240,360
I-2578,60,240,240
I-2579,60,280,240
I-2580,60,240,420
I-2581,40,280,360
I-2582,60,260,240
I-2583,40,240,360
I-2584,60,240,300
I-2585,20,240,360
I-2586,60,240,200
I-2587,40,260,280
I-2588,50,280,360
I-2589,20,260,240
I-2590,50,240,420
I-2591,20,240,360
I-2592,20,260,360
I-2593,40,240,200
I-2594,50,240,300
I-2595,60,280,200
I-2596,40,260,240
I-2597,50,240,280
I-2598,40,260,300
I-2599,60,260,280
I-2600,50,280,360
I-2601,60,260,300
I-2602,50,240,360
I-2603,40,280,240
I-2604,40,240,240
I-2605,20,240,420
I-2606,40,240,360
I-2607,60,260,300
I-2608,40,280,280
I-2609,60,280,360
I-2610,40,280,420
I-2611,50,260,280
I-2612,20,240,420
I-2613,50,280,280
I-2614,20,280,420
I-2615,60,280,200
I-2616,60,280,360
I-2617,60,260,280
I-2618,40,240,360
I-2619,40,280,200
I-2620,40,280,280
I-2621,60,240,200
I-2622,50,240,300
I-2623,50,240,420
I-2624,40,280,360
I-2625,40,280,420
I-2626,40,260,280
I-2627,40,240,300
I-2628,40,280,280
